,Date,Ticker,Adj Close,Close,High,Low,Open,Volume
0,2019-10-01 00:00:00+00:00,BDMN.JK,3381.6904296875,4610.0,4770.0,4610.0,4750.0,2843900
1,2019-10-02 00:00:00+00:00,BDMN.JK,3359.683349609375,4580.0,4630.0,4500.0,4600.0,6285000
2,2019-10-03 00:00:00+00:00,BDMN.JK,3396.361328125,4630.0,4680.0,4500.0,4580.0,1384800
3,2019-10-04 00:00:00+00:00,BDMN.JK,3411.03271484375,4650.0,4680.0,4560.0,4630.0,2068100
4,2019-10-07 00:00:00+00:00,BDMN.JK,3359.683349609375,4580.0,4710.0,4580.0,4660.0,2731500
5,2019-10-08 00:00:00+00:00,BDMN.JK,3381.6904296875,4610.0,4660.0,4580.0,4580.0,1406600
6,2019-10-09 00:00:00+00:00,BDMN.JK,3367.01953125,4590.0,4630.0,4570.0,4610.0,2560100
7,2019-10-10 00:00:00+00:00,BDMN.JK,3359.683349609375,4580.0,4610.0,4550.0,4590.0,4022500
8,2019-10-11 00:00:00+00:00,BDMN.JK,3337.677001953125,4550.0,4630.0,4510.0,4580.0,2615900
9,2019-10-14 00:00:00+00:00,BDMN.JK,3345.0126953125,4560.0,4590.0,4540.0,4540.0,830900
10,2019-10-15 00:00:00+00:00,BDMN.JK,3359.683349609375,4580.0,4600.0,4550.0,4570.0,1149500
11,2019-10-16 00:00:00+00:00,BDMN.JK,3396.361328125,4630.0,4630.0,4560.0,4590.0,1567900
12,2019-10-17 00:00:00+00:00,BDMN.JK,3425.703857421875,4670.0,4680.0,4600.0,4630.0,2035400
13,2019-10-18 00:00:00+00:00,BDMN.JK,3403.697265625,4640.0,4680.0,4620.0,4680.0,1003700
14,2019-10-21 00:00:00+00:00,BDMN.JK,3374.354736328125,4600.0,4680.0,4600.0,4670.0,388400
15,2019-10-22 00:00:00+00:00,BDMN.JK,3359.683349609375,4580.0,4640.0,4570.0,4630.0,600600
16,2019-10-23 00:00:00+00:00,BDMN.JK,3323.005615234375,4530.0,4600.0,4530.0,4580.0,1439800
17,2019-10-24 00:00:00+00:00,BDMN.JK,3323.005615234375,4530.0,4630.0,4500.0,4530.0,8103300
18,2019-10-25 00:00:00+00:00,BDMN.JK,3286.328125,4480.0,4550.0,4480.0,4550.0,3263300
19,2019-10-28 00:00:00+00:00,BDMN.JK,3242.314697265625,4420.0,4500.0,4420.0,4500.0,1792700
20,2019-10-29 00:00:00+00:00,BDMN.JK,3242.314697265625,4420.0,4510.0,4420.0,4450.0,2459800
21,2019-10-30 00:00:00+00:00,BDMN.JK,3190.966064453125,4350.0,4420.0,4330.0,4420.0,4802900
22,2019-10-31 00:00:00+00:00,BDMN.JK,3080.9326171875,4200.0,4390.0,4200.0,4350.0,5688500
23,2019-11-01 00:00:00+00:00,BDMN.JK,3022.248291015625,4120.0,4200.0,4100.0,4180.0,3546400
24,2019-11-04 00:00:00+00:00,BDMN.JK,3146.952880859375,4290.0,4330.0,4120.0,4150.0,3394200
25,2019-11-05 00:00:00+00:00,BDMN.JK,3095.603515625,4220.0,4320.0,4200.0,4300.0,2540700
26,2019-11-06 00:00:00+00:00,BDMN.JK,3088.26806640625,4210.0,4330.0,4180.0,4240.0,2312200
27,2019-11-07 00:00:00+00:00,BDMN.JK,3036.91943359375,4140.0,4230.0,4120.0,4230.0,1813300
28,2019-11-08 00:00:00+00:00,BDMN.JK,3044.254638671875,4150.0,4190.0,4120.0,4170.0,1441800
29,2019-11-11 00:00:00+00:00,BDMN.JK,3029.583984375,4130.0,4230.0,4120.0,4190.0,1992800
30,2019-11-12 00:00:00+00:00,BDMN.JK,3044.254638671875,4150.0,4170.0,4130.0,4170.0,937200
31,2019-11-13 00:00:00+00:00,BDMN.JK,3036.91943359375,4140.0,4180.0,4120.0,4150.0,1130300
32,2019-11-14 00:00:00+00:00,BDMN.JK,2992.906005859375,4080.0,4140.0,4030.0,4140.0,1673300
33,2019-11-15 00:00:00+00:00,BDMN.JK,2963.5634765625,4040.0,4090.0,4020.0,4090.0,2573100
34,2019-11-18 00:00:00+00:00,BDMN.JK,2897.543701171875,3950.0,4100.0,3890.0,4100.0,4899500
35,2019-11-19 00:00:00+00:00,BDMN.JK,2868.20166015625,3910.0,3980.0,3910.0,3970.0,2410800
36,2019-11-20 00:00:00+00:00,BDMN.JK,2882.872802734375,3930.0,4010.0,3920.0,3920.0,2112100
37,2019-11-21 00:00:00+00:00,BDMN.JK,2860.865966796875,3900.0,3950.0,3900.0,3930.0,1991900
